group,variable,value
G30,"I00-I09, I26-I43, I51, I52, I70-I99",0.8825028354188321
G30,E10-E14,0.7973777933310853
G30,E65-E68,0.7307560457186428
G30,"F01, F03",0.7757902133853462
G30,U071,0.7954210148538782
N17-N19,J09-J18,0.8469491102500915
N17-N19,J40-J47,0.5919232445784919
N17-N19,J80,0.6876019517903196
N17-N19,J96,0.8981092522472732
N17-N19,R09.2,0.7136571656342152
N17-N19,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0.8554691291941529
N17-N19,I10-I15,0.5186768257549681
N17-N19,I20-I25,0.6125809498090535
N17-N19,I46,0.704643101439659
N17-N19,"I44, I45, I47-I49",0.858595797525407
N17-N19,I50,0.8782968882929494
N17-N19,I60-I69,0.8462066619712523
N17-N19,A40-A41,0.974975812393803
N17-N19,C00-C97,0.7596966443475377
N17-N19,G30,0.8592497218509385
N17-N19,N17-N19,1.0
N17-N19,"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",0.7899711616842942
N17-N19,"A00-A39, A42-B99, D00-E07, E15-E64, E70-E90, F00, F02, F04-G26, G31-H95, K00-K93, L00-M99, N00-N16, N20-N98, O00-O99, P00-P96, Q00-Q99, R00-R08, R09.0, R09.1, R09.3, R09.8, R10-R99",0.9356942847942603
N17-N19,"I00-I09, I26-I43, I51, I52, I70-I99",0.8867067612090691
N17-N19,E10-E14,0.6854248333029203
N17-N19,E65-E68,0.6149327862135125
N17-N19,"F01, F03",0.6524877816901706
N17-N19,U071,0.815306128378428
"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",J09-J18,0.8091652449041182
"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",J40-J47,0.8980426752551156
"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",J80,0.6555371386837126
"S00-T98, V01-X59, X60-X84, X85-Y09, Y10-Y36, Y40-Y89, U01-U03",J96,0.7267923965676139
